"Product title","Quantity ordered","Net sales","Orders"
"Turmeric Ashwagandha Herbal Tea, 18 Count",58,400.88,46
"Ashwagandha Coffee 6 Packs (3+3 Free Packs + 7 FREE Gifts worth $48 Additional)",58,4827.82,58
"Turmeric Tea Tales Gift Set, 6 Teas",57,1970.7,49
"Zingy Ginger Herbal Tea, 100 Count",56,846.78,50
"2025 Halmari Clonal Assam Second Flush Black Tea 533",56,1444.31,52
"Sprightly Spearmint Herbal Tea, 100 Count",56,797.85,49
"Mint Melody Green Tea, 100 Count",54,1236.71,47
"2025 Barnesbeg Premium Darjeeling First Flush Black Tea DJ 10",53,1042.17,39
"Turmeric Ginger Herbal Tea 18 Count",52,317.59,36
"Cinnamon Powder, 2.47 Oz, 70g",51,365.47,45
"Darjeeling Teas Sampler, 10 Teas",50,1194.68,49
"Triphala High Strength with Amla, Bibhitaki, Haritaki Extract",47,1320.21,45
"White Teas Gift Sampler, 4 Teas",44,860.47,43
"24 Spices of Christmas Advent Calendar",43,3567.2,40
"2025 Arya Diamond Darjeeling First Flush Black Tea Ex 31",42,1413.66,31
"Black Friday Only | Classic Tea Sampler, Gift Set, 24 Teas With Free Shimmer Cup",39,546.39,28
"Psyllium Husk 1820mg with Probiotics (2 Billion CFU)",39,1169.03,34
"FREE Mystery Gift",38,4.99,37
"FREE Wooden Scoop",38,1.99,38
"Christmas Tea Gift Set, 9 Individually Wrapped Tea Bags",37,438.23,25
"FREE Stainless Steel Straw",36,1.99,36
"FREE Cash Credit",35,0,35
"FREE Recipe Booklet",35,0,35
"FREE Aroma Bean Pouch",35,0,35
"FREE Plantable Paper",35,0,35
"2026 Castleton Premium Darjeeling First Flush Black Tea DJ FF BT-100g",34,977.69,12
"Cardamom Masala Chai Tea, 30 Count",34,435.17,33
"Black Pepper Powder, 2.47 Oz, 70g",33,212.75,25
"Cosmos Tea Cup (250ml)",32,416.94,23
"Ashwagandha Coffee (40 Servings)",32,1110.78,29
"2025 Giddapahar Premium Darjeeling First Flush Black Tea DJ 11",31,714.73,23
"Drift Mug for Grandma, Insulated, 10.1 Oz, 300ml",31,381.31,27
"Lychee Rose Iced Tea | 26 Pitcher Tea Bags",30,520.19,27
"Berberine 1200 mg with Cinnamon Extract & Milk Thistle",30,1170.33,28
"Ashwagandha Coffee (240 Servings)",28,3287.71,27
"Turmeric Tea Bundle, Set of 3",25,1365.15,25
"Weekend in New York, Gift Set, 9 Teas",25,713.45,25
"Advent Calendar Tea Gift Set, 24 Teas",23,522.31,14
"VAHDAM® Signature Frother",22,195,22
"Verve Bottle Insulated (Blush Pink)",21,0,21
"2025 Margaret's Hope Premium Darjeeling Second Flush Black Tea  DJ 331 (Pack of 4)",16,1158.41,15
"Black Friday Only | Foldable Advent Calendar Tea Gift, 24 Teas, 1.69 Oz, 48g With Free Shimmer Cup",16,276.35,11
"Ashwagandha Coffee (120 Servings)",15,1183.85,15
"Amla Powder, 2.47 Oz, 70g",15,116.66,12
"2026 Margaret's Hope Premium Darjeeling First Flush Black Tea-100g",15,434.85,10
"Drift Mug for Teacher, Insulated, 10.1 Oz, 300ml",15,130.67,13
"2025 Jungpana Muscatel Darjeeling Second Flush Black Tea DJ 120 (Pack of 4)",14,1055.48,14
"World Tea Sampler + Free GIFTS",13,718.89,13
"Bacopa 1000 mg High Strength Capsules",13,395.42,12
"Chai Tea Bundle, Set of 4",12,471.31,12
"Halloween Tea Assortment, 9 Teas",11,155.92,9
"Black Tea Bundle, Set of 4",11,556.4,10
"20 Teas Loose Leaf Sampler | Buy 1 Get 1 Free",10,539.9,10
"Turmeric Ginger with 1500mg Curcuminoids",10,313.9,10
"Shatavari 1000mg High Strength",10,322.94,9
"Ashwagandha Coffee 3 Packs",10,799.9,10
"Onion Powder, 2.47 Oz, 70g",10,74.7,10
"Ashwagandha Coffee - 80 Servings",8,479.92,8
"Halloween Mug, Insulated, 11.8 Oz, 350ml (Black)",8,145.92,6
"2026 Margaret's Hope Moonlight Darjeeling First Flush Black Tea-50g",8,327.53,7
"2026 Barnesbeg Premium Darjeeling First Flush Black Tea FF BT-100g",7,155.19,7
"2026 Okayti Premium Darjeeling First Flush Black Tea DJ FF BT-100g",7,186.23,7
"Black Friday Offer | Assorted Tea Bags Sampler, (40 Pyramid Tea Bags) With Free Shimmer Cup",6,134.94,6
"Best Seller Bundle, Set of 4",6,448.35,6
"Rover Bottle Insulated (Mint Green)",5,0,5
"2026 Jungpana Premium Darjeeling First Flush Black Tea DJ FF BT-100g/Pack of 4",5,509.45,5
"Green Tea Bundle, Set of 4",5,345,5
"2026 Badamtam Premium Darjeeling First Flush Black Tea-100g",5,127.35,5
"2025 Giddapahar Classic Darjeeling Second Flush Black Tea DJ 74 (Pack of 4)",5,587.8,5
"2025 Halmari Clonal Assam Second Flush Black Tea 533 (Pack of 4)",4,436.65,4
"Vahdam E-Gift Card 100",4,0,0
"Hanukkah Tea Assortment, 9 Teas, 0.63 Oz, 18g",4,54.26,3
"Ashwagandha Coffee - Pack of 2",4,99.98,2
,3,-3496.99,3
"2026 Arya Diamond Darjeeling First Flush Black Tea DJ FF BT/ Pack of 4",3,417.57,2
"Drift Mug for Grandpa, Insulated, 10.1 Oz, 300ml",3,55.07,3
"2025 Castleton Moonlight Darjeeling Second Flush Black Tea DJ 373 (Pack of 4)",3,335.88,3
"Ashwagandha Coffee 6 Packs (BUY 3 GET 3 FREE)",2,239.98,2
"Drift Mug for Dad, Insulated, 10.1 Oz, 300ml",2,34.18,2
"Drift Mug for Best Friend, Insulated, 10.1 Oz, 300ml",2,59.98,2
"English Breakfast Black Tea: Single Serve Tea Pods",2,35.98,2
"Earl Grey Black Tea: Single Serve Tea Pods",2,35.98,2
"Drift Mug for Wife, Insulated, 10.1 Oz, 300ml",2,53.98,2
"2025 Okayti Premium Darjeeling First Flush Black Tea OKT 07 (Pack of 4)",1,99.99,1
"2026 Giddapahar Premium Darjeeling First Flush Tea DJ FF BT/ 100g/ Pack of 4",1,104.99,1
"Cumin Powder,2.47 Oz, 70g",1,7.99,1
"Vahdam E-Gift Card 250",1,0,0
