"Product title","Net sales","Quantity ordered","Orders"
"2026 Giddapahar Premium Darjeeling First Flush Tea DJ FF BT/ 100g/ Pack of 4",104.99,1,1
"2025 Okayti Premium Darjeeling First Flush Black Tea OKT 07 (Pack of 4)",99.99,1,1
"Ashwagandha Coffee - Pack of 2",99.98,4,2
"Onion Powder, 2.47 Oz, 70g",74.7,10,10
"Gift Kit with Wooden Scoop, Stainless Steel Straw & Complimentary Tea Bags",63.9,1499,1498
"Drift Mug for Best Friend, Insulated, 10.1 Oz, 300ml",59.98,2,2
"Drift Mug for Grandpa, Insulated, 10.1 Oz, 300ml",55.07,3,3
"Hanukkah Tea Assortment, 9 Teas, 0.63 Oz, 18g",54.26,4,3
"Drift Mug for Wife, Insulated, 10.1 Oz, 300ml",53.98,2,2
"English Breakfast Black Tea: Single Serve Tea Pods",35.98,2,2
"Earl Grey Black Tea: Single Serve Tea Pods",35.98,2,2
"Drift Mug for Dad, Insulated, 10.1 Oz, 300ml",34.18,2,2
"Insulated Stainless Steel Tumbler",22.5,1534,1533
"Cumin Powder,2.47 Oz, 70g",7.99,1,1
"FREE Mystery Gift",4.99,38,37
"FREE Stainless Steel Straw",1.99,36,36
"FREE Wooden Scoop",1.99,38,38
"FREE Cash Credit",0,35,35
"Verve Bottle Insulated (Blush Pink)",0,21,21
"FREE Plantable Paper",0,35,35
"FREE Aroma Bean Pouch",0,35,35
"Vahdam E-Gift Card 100",0,4,0
"FREE Recipe Booklet",0,35,35
"Vahdam E-Gift Card 250",0,1,0
"Rover Bottle Insulated (Mint Green)",0,5,5
,-3496.99,3,3
